RERE	PIK3CD
RFG9	RET
RFT1	UQCRC2
RGS22	SYCP1
RHOB	GATA3
RHOBTB3	CRNKL1
RHOH	BCL6
RHPN2	ANKRD27
RICTOR	FGF10
RIF1	PKD1L1
RIMS2	ATP6V1C1
RLF	MYCL1
RLF	PPT1
RNF121	TRIM37
RNF187	OBSCN
ROCK1	CMKLR1
ROCK2	SH3YL1
ROPN1L	SEMA5A
ROS1	CD74
RPAP3	SCAF11
RPL19	RPS16
RPL23	MUCL1
RPL7L1	CDK8
RPL8	KRT4
RPN1	MECOM
RPN1	PRDM16
RPN2	PMEPA1
RPS10	HPR
RPS15	PLEC
RPS6KA3	DDX53
RPS6KB1	DIAPH3
RPS6KB1	SNF8
RPS6KB1	TMEM49
RPS6KB1	VMP1
RREB1	TFE3
RSPO2	OXR1
RUNX1	AFF3
RUNX1	C11ORF41
RUNX1	C20ORF112
RUNX1	CBFA2T2
RUNX1	CBFA2T3
RUNX1	CLCA2
RUNX1	CPNE8
RUNX1	EVX1
RUNX1	FGA7
RUNX1	KCNMA1
RUNX1	LPXN
RUNX1	MACROD1
RUNX1	MECOM
RUNX1	PRDM16
RUNX1	PRDX4
RUNX1	RPL22P1
RUNX1	RUNX1T1
RUNX1	SH3D19
RUNX1	TRPS1
RUNX1	UPK3B	DTX2
RUNX1	USP42
RUNX1	YTHDF2
RUNX1	ZFPM2
RUNX1	ZNF687
RUVBL1	TMCC1
RYK	ATP5O
SAMD8	LHX1
SART3	PDGFRB
SASH1	DPF3
SBF1	FLNA
SCAF11	PDGFRA
SCAMP2	WDR72
SDC4	ROS1
SDK1	AMACR
